alias,ingredient_id,standard_name,match_type
abalone,AUS_F000005,"abalone, raw",generated
abalone  raw,AUS_F000005,"abalone, raw",generated
abalone raw,AUS_F000005,"abalone, raw",generated
"abalone, raw",AUS_F000005,"abalone, raw",exact
acai,AUS_F010960,"acai, powder",generated
acai  frozen,AUS_F010965,"acai, frozen",generated
acai  powder,AUS_F010960,"acai, powder",generated
acai bowl,AUS_F010972,acai bowl,exact
acai frozen,AUS_F010965,"acai, frozen",generated
acai powder,AUS_F010960,"acai, powder",generated
"acai, frozen",AUS_F010965,"acai, frozen",exact
"acai, powder",AUS_F010960,"acai, powder",exact
all bran  original,NZ_D1046,"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",generated
all bran  original  kellogg s   fortified vitamins b1  b2  and  folate,NZ_D1046,"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",generated
all bran  original kellogg s fortified vitamins b1 b2  and  folate,NZ_D1046,"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",generated
"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",NZ_D1046,"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",exact
almond  dried  blanched,NZ_Q1041,"almond, dried, blanched",generated
almond  dry roasted  salt added,NZ_Q1008,"almond, dry roasted, salt added",generated
almond  dry roasted  unblanched  no salt added,NZ_Q1004,"almond, dry roasted, unblanched, no salt added",generated
almond  kernels  dried  raw  unblanched,NZ_Q1025,"almond, kernels, dried, raw, unblanched",generated
almond  roasted with oil  unblanched  no salt added,NZ_Q1003,"almond, roasted with oil, unblanched, no salt added",generated
almond and coconut milk blend,NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",generated
almond and coconut milk blend  sugar-sweetened  fortified ca and vitamins b1  b2  and  b12,NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",generated
almond and coconut milk blend  unsweetened  fortified ca and vitamins b1  b2  and  b12,NZ_C1129,"almond and coconut milk blend, unsweetened, fortified ca and vitamins b1, b2  and  b12",generated
almond and coconut milk blend sugar-sweetened fortified ca and vitamins b1 b2  and  b12,NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",generated
almond and coconut milk blend unsweetened fortified ca and vitamins b1 b2  and  b12,NZ_C1129,"almond and coconut milk blend, unsweetened, fortified ca and vitamins b1, b2  and  b12",generated
"almond and coconut milk blend, sugar sweetened, fortified ca and vitamins b1, b2  and  b12",NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",generated
"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",exact
"almond and coconut milk blend, unsweetened, fortified ca and vitamins b1, b2  and  b12",NZ_C1129,"almond and coconut milk blend, unsweetened, fortified ca and vitamins b1, b2  and  b12",exact
almond beverage,AUS_F009969,"almond beverage, unfortified",generated
almond beverage  added ca,AUS_F009970,"almond beverage, added ca",generated
almond beverage  added ca  and  vitamin b1  b2  and  b12,AUS_F009828,"almond beverage, added ca  and  vitamin b1, b2  and  b12",generated
almond beverage  added sugar  and  ca,AUS_F009827,"almond beverage, added sugar  and  ca",generated
almond beverage  added sugar  unfortified,AUS_F009825,"almond beverage, added sugar, unfortified",generated
almond beverage  flavoured,AUS_F010051,"almond beverage, flavoured",generated
almond beverage  no added sugar  added ca,AUS_F009826,"almond beverage, no added sugar, added ca",generated
almond beverage  no added sugar  unfortified,AUS_F009824,"almond beverage, no added sugar, unfortified",generated
almond beverage  not further defined,AUS_F009971,"almond beverage, not further defined",generated
almond beverage  unfortified,AUS_F009969,"almond beverage, unfortified",generated
almond beverage added ca,AUS_F009970,"almond beverage, added ca",generated
almond beverage added ca  and  vitamin b1 b2  and  b12,AUS_F009828,"almond beverage, added ca  and  vitamin b1, b2  and  b12",generated
almond beverage added sugar  and  ca,AUS_F009827,"almond beverage, added sugar  and  ca",generated
almond beverage added sugar unfortified,AUS_F009825,"almond beverage, added sugar, unfortified",generated
almond beverage flavoured,AUS_F010051,"almond beverage, flavoured",generated
almond beverage no added sugar added ca,AUS_F009826,"almond beverage, no added sugar, added ca",generated
almond beverage no added sugar unfortified,AUS_F009824,"almond beverage, no added sugar, unfortified",generated
almond beverage not further defined,AUS_F009971,"almond beverage, not further defined",generated
almond beverage unfortified,AUS_F009969,"almond beverage, unfortified",generated
"almond beverage, added ca",AUS_F009970,"almond beverage, added ca",exact
"almond beverage, added ca  and  vitamin b1, b2  and  b12",AUS_F009828,"almond beverage, added ca  and  vitamin b1, b2  and  b12",exact
"almond beverage, added sugar  and  ca",AUS_F009827,"almond beverage, added sugar  and  ca",exact
"almond beverage, added sugar, unfortified",AUS_F009825,"almond beverage, added sugar, unfortified",exact
"almond beverage, flavoured",AUS_F010051,"almond beverage, flavoured",exact
"almond beverage, no added sugar, added ca",AUS_F009826,"almond beverage, no added sugar, added ca",exact
"almond beverage, no added sugar, unfortified",AUS_F009824,"almond beverage, no added sugar, unfortified",exact
"almond beverage, not further defined",AUS_F009971,"almond beverage, not further defined",exact
"almond beverage, unfortified",AUS_F009969,"almond beverage, unfortified",exact
almond dried blanched,NZ_Q1041,"almond, dried, blanched",generated
almond dry roasted salt added,NZ_Q1008,"almond, dry roasted, salt added",generated
almond dry roasted unblanched no salt added,NZ_Q1004,"almond, dry roasted, unblanched, no salt added",generated
almond kernels dried raw unblanched,NZ_Q1025,"almond, kernels, dried, raw, unblanched",generated
almond milk,NZ_C1126,"almond milk, sugar-sweetened",generated
almond milk  sugar-sweetened,NZ_C1126,"almond milk, sugar-sweetened",generated
almond milk  unsweetened,NZ_C1127,"almond milk, unsweetened",generated
almond milk sugar-sweetened,NZ_C1126,"almond milk, sugar-sweetened",generated
almond milk unsweetened,NZ_C1127,"almond milk, unsweetened",generated
"almond milk, sugar sweetened",NZ_C1126,"almond milk, sugar-sweetened",generated
"almond milk, sugar-sweetened",NZ_C1126,"almond milk, sugar-sweetened",exact
"almond milk, unsweetened",NZ_C1127,"almond milk, unsweetened",exact
almond roasted with oil unblanched no salt added,NZ_Q1003,"almond, roasted with oil, unblanched, no salt added",generated
almond spread,AUS_F009993,"almond spread, no added sugar or salt",generated
almond spread  added sugar  and  salt,AUS_F009994,"almond spread, added sugar  and  salt",generated
almond spread  no added sugar or salt,AUS_F009993,"almond spread, no added sugar or salt",generated
almond spread  not further defined,AUS_F009996,"almond spread, not further defined",generated
almond spread added sugar  and  salt,AUS_F009994,"almond spread, added sugar  and  salt",generated
almond spread no added sugar or salt,AUS_F009993,"almond spread, no added sugar or salt",generated
almond spread not further defined,AUS_F009996,"almond spread, not further defined",generated
"almond spread, added sugar  and  salt",AUS_F009994,"almond spread, added sugar  and  salt",exact
"almond spread, no added sugar or salt",AUS_F009993,"almond spread, no added sugar or salt",exact
"almond spread, not further defined",AUS_F009996,"almond spread, not further defined",exact
"almond, dried, blanched",NZ_Q1041,"almond, dried, blanched",exact
"almond, dry roasted, salt added",NZ_Q1008,"almond, dry roasted, salt added",exact
"almond, dry roasted, unblanched, no salt added",NZ_Q1004,"almond, dry roasted, unblanched, no salt added",exact
"almond, kernels, dried, raw, unblanched",NZ_Q1025,"almond, kernels, dried, raw, unblanched",exact
"almond, roasted with oil, unblanched, no salt added",NZ_Q1003,"almond, roasted with oil, unblanched, no salt added",exact
amaranth,AUS_F000061,"amaranth, grain, whole, uncooked",generated
amaranth  grain  whole  uncooked,AUS_F000061,"amaranth, grain, whole, uncooked",generated
amaranth grain whole uncooked,AUS_F000061,"amaranth, grain, whole, uncooked",generated
"amaranth, grain, whole, uncooked",AUS_F000061,"amaranth, grain, whole, uncooked",exact
amino acid or creatine drink,AUS_F010718,"amino acid or creatine drink, made with water",generated
amino acid or creatine drink  made with cow s milk,AUS_F010719,"amino acid or creatine drink, made with cow s milk",generated
amino acid or creatine drink  made with dairy milk alternative,AUS_F010917,"amino acid or creatine drink, made with dairy milk alternative",generated
amino acid or creatine drink  made with water,AUS_F010718,"amino acid or creatine drink, made with water",generated
amino acid or creatine drink made with cow s milk,AUS_F010719,"amino acid or creatine drink, made with cow s milk",generated
amino acid or creatine drink made with dairy milk alternative,AUS_F010917,"amino acid or creatine drink, made with dairy milk alternative",generated
amino acid or creatine drink made with water,AUS_F010718,"amino acid or creatine drink, made with water",generated
"amino acid or creatine drink, made with cow s milk",AUS_F010719,"amino acid or creatine drink, made with cow s milk",exact
"amino acid or creatine drink, made with dairy milk alternative",AUS_F010917,"amino acid or creatine drink, made with dairy milk alternative",exact
"amino acid or creatine drink, made with water",AUS_F010718,"amino acid or creatine drink, made with water",exact
amino acid or creatine powder,AUS_F000063,amino acid or creatine powder,exact
anchovy,AUS_F010950,"anchovy, fresh, raw",generated
anchovy  canned,AUS_F000074,"anchovy, canned",generated
anchovy  fresh  raw,AUS_F010950,"anchovy, fresh, raw",generated
anchovy canned,AUS_F000074,"anchovy, canned",generated
anchovy fresh raw,AUS_F010950,"anchovy, fresh, raw",generated
"anchovy, canned",AUS_F000074,"anchovy, canned",exact
"anchovy, fresh, raw",AUS_F010950,"anchovy, fresh, raw",exact
apple  baked  no added fat,AUS_F000085,"apple, baked, no added fat",generated
apple  bonza  unpeeled  raw,AUS_F000086,"apple, bonza, unpeeled, raw",generated
apple  canned or puree,AUS_F000088,"apple, canned or puree",generated
apple  cooking  flesh  stewed,NZ_L16,"apple, cooking, flesh, stewed",generated
apple  dried,AUS_F000089,"apple, dried",generated
apple  flesh  and  skin  raw  combined varieties,NZ_L1153,"apple, flesh  and  skin, raw, combined varieties",generated
apple  flesh  raw  combined varieties,NZ_L1154,"apple, flesh, raw, combined varieties",generated
apple  fuji  unpeeled  raw,AUS_F000091,"apple, fuji, unpeeled, raw",generated
apple  golden delicious  unpeeled  raw,AUS_F000092,"apple, golden delicious, unpeeled, raw",generated
apple  granny smith  unpeeled  raw,AUS_F000095,"apple, granny smith, unpeeled, raw",generated
apple  green skin  peeled  raw,AUS_F000096,"apple, green skin, peeled, raw",generated
apple  green skin  unpeeled  raw,AUS_F000098,"apple, green skin, unpeeled, raw",generated
apple  jonathon  unpeeled  raw,AUS_F000099,"apple, jonathon, unpeeled, raw",generated
apple  peeled  raw  not further defined,AUS_F000101,"apple, peeled, raw, not further defined",generated
apple  pink lady  unpeeled  raw,AUS_F000105,"apple, pink lady, unpeeled, raw",generated
apple  raw  not further defined,AUS_F000106,"apple, raw, not further defined",generated
apple  red delicious  unpeeled  raw,AUS_F000107,"apple, red delicious, unpeeled, raw",generated
apple  red skin  peeled  raw,AUS_F000108,"apple, red skin, peeled, raw",generated
apple  red skin  unpeeled  raw,AUS_F000110,"apple, red skin, unpeeled, raw",generated
apple  royal gala  unpeeled  raw,AUS_F000111,"apple, royal gala, unpeeled, raw",generated
apple  stewed  sugar sweetened  no added fat,AUS_F000104,"apple, stewed, sugar sweetened, no added fat",generated
apple  toffee coated,AUS_F000112,"apple, toffee coated",generated
apple  unpeeled  raw  not further defined,AUS_F000114,"apple, unpeeled, raw, not further defined",generated
apple baked no added fat,AUS_F000085,"apple, baked, no added fat",generated
apple bonza unpeeled raw,AUS_F000086,"apple, bonza, unpeeled, raw",generated
apple canned or puree,AUS_F000088,"apple, canned or puree",generated
apple cooking flesh stewed,NZ_L16,"apple, cooking, flesh, stewed",generated
apple dried,AUS_F000089,"apple, dried",generated
apple flesh  and  skin raw combined varieties,NZ_L1153,"apple, flesh  and  skin, raw, combined varieties",generated
apple flesh raw combined varieties,NZ_L1154,"apple, flesh, raw, combined varieties",generated
apple fuji unpeeled raw,AUS_F000091,"apple, fuji, unpeeled, raw",generated
apple golden delicious unpeeled raw,AUS_F000092,"apple, golden delicious, unpeeled, raw",generated
apple granny smith unpeeled raw,AUS_F000095,"apple, granny smith, unpeeled, raw",generated
apple green skin peeled raw,AUS_F000096,"apple, green skin, peeled, raw",generated
apple green skin unpeeled raw,AUS_F000098,"apple, green skin, unpeeled, raw",generated
apple jonathon unpeeled raw,AUS_F000099,"apple, jonathon, unpeeled, raw",generated
apple peeled raw not further defined,AUS_F000101,"apple, peeled, raw, not further defined",generated
apple pink lady unpeeled raw,AUS_F000105,"apple, pink lady, unpeeled, raw",generated
apple raw not further defined,AUS_F000106,"apple, raw, not further defined",generated
apple red delicious unpeeled raw,AUS_F000107,"apple, red delicious, unpeeled, raw",generated
apple red skin peeled raw,AUS_F000108,"apple, red skin, peeled, raw",generated
apple red skin unpeeled raw,AUS_F000110,"apple, red skin, unpeeled, raw",generated
apple royal gala unpeeled raw,AUS_F000111,"apple, royal gala, unpeeled, raw",generated
apple stewed sugar sweetened no added fat,AUS_F000104,"apple, stewed, sugar sweetened, no added fat",generated
apple toffee coated,AUS_F000112,"apple, toffee coated",generated
apple unpeeled raw not further defined,AUS_F000114,"apple, unpeeled, raw, not further defined",generated
"apple, baked, no added fat",AUS_F000085,"apple, baked, no added fat",exact
"apple, bonza, unpeeled, raw",AUS_F000086,"apple, bonza, unpeeled, raw",exact
"apple, canned or puree",AUS_F000088,"apple, canned or puree",exact
"apple, cooking, flesh, stewed",NZ_L16,"apple, cooking, flesh, stewed",exact
"apple, dried",AUS_F000089,"apple, dried",exact
"apple, flesh  and  skin, raw, combined varieties",NZ_L1153,"apple, flesh  and  skin, raw, combined varieties",exact
"apple, flesh, raw, combined varieties",NZ_L1154,"apple, flesh, raw, combined varieties",exact
"apple, fuji, unpeeled, raw",AUS_F000091,"apple, fuji, unpeeled, raw",exact
"apple, golden delicious, unpeeled, raw",AUS_F000092,"apple, golden delicious, unpeeled, raw",exact
"apple, granny smith, unpeeled, raw",AUS_F000095,"apple, granny smith, unpeeled, raw",exact
"apple, green skin, peeled, raw",AUS_F000096,"apple, green skin, peeled, raw",exact
"apple, green skin, unpeeled, raw",AUS_F000098,"apple, green skin, unpeeled, raw",exact
"apple, jonathon, unpeeled, raw",AUS_F000099,"apple, jonathon, unpeeled, raw",exact
"apple, peeled, raw, not further defined",AUS_F000101,"apple, peeled, raw, not further defined",exact
"apple, pink lady, unpeeled, raw",AUS_F000105,"apple, pink lady, unpeeled, raw",exact
"apple, raw, not further defined",AUS_F000106,"apple, raw, not further defined",exact
"apple, red delicious, unpeeled, raw",AUS_F000107,"apple, red delicious, unpeeled, raw",exact
"apple, red skin, peeled, raw",AUS_F000108,"apple, red skin, peeled, raw",exact
"apple, red skin, unpeeled, raw",AUS_F000110,"apple, red skin, unpeeled, raw",exact
"apple, royal gala, unpeeled, raw",AUS_F000111,"apple, royal gala, unpeeled, raw",exact
"apple, stewed, sugar sweetened, no added fat",AUS_F000104,"apple, stewed, sugar sweetened, no added fat",exact
"apple, toffee coated",AUS_F000112,"apple, toffee coated",exact
"apple, unpeeled, raw, not further defined",AUS_F000114,"apple, unpeeled, raw, not further defined",exact
apricot,AUS_F000134,"apricot, raw",generated
apricot  canned in juice  undrained,NZ_L1137,"apricot, canned in juice, undrained",generated
apricot  canned in pear juice,AUS_F000122,"apricot, canned in pear juice",generated
apricot  canned in pear juice  drained,AUS_F000123,"apricot, canned in pear juice, drained",generated
apricot  canned in pear juice  juice only,AUS_F000124,"apricot, canned in pear juice, juice only",generated
apricot  canned in syrup,AUS_F000125,"apricot, canned in syrup",generated
apricot  canned in syrup  drained,AUS_F000126,"apricot, canned in syrup, drained",generated
apricot  canned in syrup  syrup only,AUS_F000127,"apricot, canned in syrup, syrup only",generated
apricot  canned in syrup  undrained,NZ_L1141,"apricot, canned in syrup, undrained",generated
apricot  dried,AUS_F000130,"apricot, dried",generated
apricot  flesh  and  skin  raw  fresh,NZ_L1168,"apricot, flesh  and  skin, raw, fresh",generated
apricot  flesh  and  skin  stewed,NZ_L25,"apricot, flesh  and  skin, stewed",generated
apricot  raw,AUS_F000134,"apricot, raw",generated
apricot  stewed  sugar sweetened  no added fat,AUS_F000135,"apricot, stewed, sugar sweetened, no added fat",generated
apricot canned in juice undrained,NZ_L1137,"apricot, canned in juice, undrained",generated
apricot canned in pear juice,AUS_F000122,"apricot, canned in pear juice",generated
apricot canned in pear juice drained,AUS_F000123,"apricot, canned in pear juice, drained",generated
apricot canned in pear juice juice only,AUS_F000124,"apricot, canned in pear juice, juice only",generated
apricot canned in syrup,AUS_F000125,"apricot, canned in syrup",generated
apricot canned in syrup drained,AUS_F000126,"apricot, canned in syrup, drained",generated
apricot canned in syrup syrup only,AUS_F000127,"apricot, canned in syrup, syrup only",generated
apricot canned in syrup undrained,NZ_L1141,"apricot, canned in syrup, undrained",generated
apricot dried,AUS_F000130,"apricot, dried",generated
apricot flesh  and  skin raw fresh,NZ_L1168,"apricot, flesh  and  skin, raw, fresh",generated
apricot flesh  and  skin stewed,NZ_L25,"apricot, flesh  and  skin, stewed",generated
apricot raw,AUS_F000134,"apricot, raw",generated
apricot stewed sugar sweetened no added fat,AUS_F000135,"apricot, stewed, sugar sweetened, no added fat",generated
"apricot, canned in juice, undrained",NZ_L1137,"apricot, canned in juice, undrained",exact
"apricot, canned in pear juice",AUS_F000122,"apricot, canned in pear juice",exact
"apricot, canned in pear juice, drained",AUS_F000123,"apricot, canned in pear juice, drained",exact
"apricot, canned in pear juice, juice only",AUS_F000124,"apricot, canned in pear juice, juice only",exact
"apricot, canned in syrup",AUS_F000125,"apricot, canned in syrup",exact
"apricot, canned in syrup, drained",AUS_F000126,"apricot, canned in syrup, drained",exact
"apricot, canned in syrup, syrup only",AUS_F000127,"apricot, canned in syrup, syrup only",exact
"apricot, canned in syrup, undrained",NZ_L1141,"apricot, canned in syrup, undrained",exact
"apricot, dried",AUS_F000130,"apricot, dried",exact
"apricot, flesh  and  skin, raw, fresh",NZ_L1168,"apricot, flesh  and  skin, raw, fresh",exact
"apricot, flesh  and  skin, stewed",NZ_L25,"apricot, flesh  and  skin, stewed",exact
"apricot, raw",AUS_F000134,"apricot, raw",exact
"apricot, stewed, sugar sweetened, no added fat",AUS_F000135,"apricot, stewed, sugar sweetened, no added fat",exact
artichoke,AUS_F000144,"artichoke, globe, raw",generated
artichoke  globe  cooked,AUS_F000142,"artichoke, globe, cooked",generated
artichoke  globe  raw,AUS_F000144,"artichoke, globe, raw",generated
artichoke  jerusalem  peeled  cooked,AUS_F000145,"artichoke, jerusalem, peeled, cooked",generated
artichoke  jerusalem  peeled  raw,AUS_F000146,"artichoke, jerusalem, peeled, raw",generated
artichoke globe cooked,AUS_F000142,"artichoke, globe, cooked",generated
artichoke globe raw,AUS_F000144,"artichoke, globe, raw",generated
artichoke heart,AUS_F000141,"artichoke heart, canned in brine, drained",generated
artichoke heart  canned in brine  drained,AUS_F000141,"artichoke heart, canned in brine, drained",generated
artichoke heart canned in brine drained,AUS_F000141,"artichoke heart, canned in brine, drained",generated
"artichoke heart, canned in brine, drained",AUS_F000141,"artichoke heart, canned in brine, drained",exact
artichoke jerusalem peeled cooked,AUS_F000145,"artichoke, jerusalem, peeled, cooked",generated
artichoke jerusalem peeled raw,AUS_F000146,"artichoke, jerusalem, peeled, raw",generated
"artichoke, globe, cooked",AUS_F000142,"artichoke, globe, cooked",exact
"artichoke, globe, raw",AUS_F000144,"artichoke, globe, raw",exact
"artichoke, jerusalem, peeled, cooked",AUS_F000145,"artichoke, jerusalem, peeled, cooked",exact
"artichoke, jerusalem, peeled, raw",AUS_F000146,"artichoke, jerusalem, peeled, raw",exact
asparagus,AUS_F000155,"asparagus, green, raw",generated
asparagus  canned  drained,NZ_X134,"asparagus, canned, drained",generated
asparagus  canned in brine  drained,AUS_F000149,"asparagus, canned in brine, drained",generated
asparagus  green  baked  roasted  fried  stir-fried  grilled or bbq d  added fat,AUS_F000152,"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
asparagus  green  baked  roasted  fried  stir-fried  grilled or bbq d  no added fat,AUS_F000153,"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
asparagus  green  boiled  microwaved or steamed  drained,AUS_F000151,"asparagus, green, boiled, microwaved or steamed, drained",generated
asparagus  green  raw,AUS_F000155,"asparagus, green, raw",generated
asparagus  stalk  fresh  boiled  drained  no salt added,NZ_X1106,"asparagus, stalk, fresh, boiled, drained, no salt added",generated
asparagus  stalk  fresh  raw,NZ_X1105,"asparagus, stalk, fresh, raw",generated
asparagus  stalk  fresh  steamed,NZ_X1107,"asparagus, stalk, fresh, steamed",generated
asparagus canned drained,NZ_X134,"asparagus, canned, drained",generated
asparagus canned in brine drained,AUS_F000149,"asparagus, canned in brine, drained",generated
asparagus green baked roasted fried stir-fried grilled or bbq d added fat,AUS_F000152,"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
asparagus green baked roasted fried stir-fried grilled or bbq d no added fat,AUS_F000153,"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
asparagus green boiled microwaved or steamed drained,AUS_F000151,"asparagus, green, boiled, microwaved or steamed, drained",generated
asparagus green raw,AUS_F000155,"asparagus, green, raw",generated
asparagus stalk fresh boiled drained no salt added,NZ_X1106,"asparagus, stalk, fresh, boiled, drained, no salt added",generated
asparagus stalk fresh raw,NZ_X1105,"asparagus, stalk, fresh, raw",generated
asparagus stalk fresh steamed,NZ_X1107,"asparagus, stalk, fresh, steamed",generated
"asparagus, canned in brine, drained",AUS_F000149,"asparagus, canned in brine, drained",exact
"asparagus, canned, drained",NZ_X134,"asparagus, canned, drained",exact
"asparagus, green, baked, roasted, fried, stir fried, grilled or bbq d, added fat",AUS_F000152,"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
"asparagus, green, baked, roasted, fried, stir fried, grilled or bbq d, no added fat",AUS_F000153,"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",AUS_F000152,"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",exact
"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",AUS_F000153,"asparagus, green, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",exact
"asparagus, green, boiled, microwaved or steamed, drained",AUS_F000151,"asparagus, green, boiled, microwaved or steamed, drained",exact
"asparagus, green, raw",AUS_F000155,"asparagus, green, raw",exact
"asparagus, stalk, fresh, boiled, drained, no salt added",NZ_X1106,"asparagus, stalk, fresh, boiled, drained, no salt added",exact
"asparagus, stalk, fresh, raw",NZ_X1105,"asparagus, stalk, fresh, raw",exact
"asparagus, stalk, fresh, steamed",NZ_X1107,"asparagus, stalk, fresh, steamed",exact
avocado,AUS_F000162,"avocado, raw",generated
avocado   hass   new zealand,NZ_L1159,"avocado,  hass , new zealand",generated
avocado  cooked,AUS_F000159,"avocado, cooked",generated
avocado  raw,AUS_F000162,"avocado, raw",generated
avocado cooked,AUS_F000159,"avocado, cooked",generated
avocado hass new zealand,NZ_L1159,"avocado,  hass , new zealand",generated
avocado raw,AUS_F000162,"avocado, raw",generated
"avocado,  hass , new zealand",NZ_L1159,"avocado,  hass , new zealand",exact
"avocado, cooked",AUS_F000159,"avocado, cooked",exact
"avocado, raw",AUS_F000162,"avocado, raw",exact
babaco,AUS_F000163,"babaco, peeled, raw",generated
babaco  peeled  raw,AUS_F000163,"babaco, peeled, raw",generated
babaco peeled raw,AUS_F000163,"babaco, peeled, raw",generated
"babaco, peeled, raw",AUS_F000163,"babaco, peeled, raw",exact
babyccino,AUS_F000164,"babyccino, from cow s milk",generated
babyccino  from cow s milk,AUS_F000164,"babyccino, from cow s milk",generated
babyccino  from dairy milk alternative,AUS_F009984,"babyccino, from dairy milk alternative",generated
babyccino from cow s milk,AUS_F000164,"babyccino, from cow s milk",generated
babyccino from dairy milk alternative,AUS_F009984,"babyccino, from dairy milk alternative",generated
"babyccino, from cow s milk",AUS_F000164,"babyccino, from cow s milk",exact
"babyccino, from dairy milk alternative",AUS_F009984,"babyccino, from dairy milk alternative",exact
bacon,AUS_F000192,"bacon, middle rasher, lean, raw",generated
bacon  and  egg roll,AUS_F000170,bacon  and  egg roll,exact
bacon  middle rasher  lean  cooked,AUS_F000224,"bacon, middle rasher, lean, cooked",generated
bacon  middle rasher  lean  raw,AUS_F000192,"bacon, middle rasher, lean, raw",generated
bacon  middle rasher  no fat removed  cooked,AUS_F000227,"bacon, middle rasher, no fat removed, cooked",generated
bacon  middle rasher  no fat removed  raw,AUS_F000228,"bacon, middle rasher, no fat removed, raw",generated
bacon  middle rasher  some fat removed  raw,AUS_F000222,"bacon, middle rasher, some fat removed, raw",generated
bacon  shortcut  cooked,AUS_F000231,"bacon, shortcut, cooked",generated
bacon  streaky  cooked,AUS_F010254,"bacon, streaky, cooked",generated
bacon burger,AUS_F010447,"bacon burger, takeaway",generated
bacon burger  homemade,AUS_F010449,"bacon burger, homemade",generated
bacon burger  takeaway,AUS_F010447,"bacon burger, takeaway",generated
bacon burger homemade,AUS_F010449,"bacon burger, homemade",generated
bacon burger takeaway,AUS_F010447,"bacon burger, takeaway",generated
"bacon burger, homemade",AUS_F010449,"bacon burger, homemade",exact
"bacon burger, takeaway",AUS_F010447,"bacon burger, takeaway",exact
bacon middle rasher lean cooked,AUS_F000224,"bacon, middle rasher, lean, cooked",generated
bacon middle rasher lean raw,AUS_F000192,"bacon, middle rasher, lean, raw",generated
bacon middle rasher no fat removed cooked,AUS_F000227,"bacon, middle rasher, no fat removed, cooked",generated
bacon middle rasher no fat removed raw,AUS_F000228,"bacon, middle rasher, no fat removed, raw",generated
bacon middle rasher some fat removed raw,AUS_F000222,"bacon, middle rasher, some fat removed, raw",generated
bacon rasher,NZ_N1051,"bacon rasher, rindless, pan-fried with no added fat, assorted types",generated
bacon rasher  rindless  pan-fried with no added fat  assorted types,NZ_N1051,"bacon rasher, rindless, pan-fried with no added fat, assorted types",generated
bacon rasher rindless pan-fried with no added fat assorted types,NZ_N1051,"bacon rasher, rindless, pan-fried with no added fat, assorted types",generated
"bacon rasher, rindless, pan fried with no added fat, assorted types",NZ_N1051,"bacon rasher, rindless, pan-fried with no added fat, assorted types",generated
"bacon rasher, rindless, pan-fried with no added fat, assorted types",NZ_N1051,"bacon rasher, rindless, pan-fried with no added fat, assorted types",exact
bacon shortcut cooked,AUS_F000231,"bacon, shortcut, cooked",generated
bacon streaky cooked,AUS_F010254,"bacon, streaky, cooked",generated
"bacon, middle rasher, lean, cooked",AUS_F000224,"bacon, middle rasher, lean, cooked",exact
"bacon, middle rasher, lean, raw",AUS_F000192,"bacon, middle rasher, lean, raw",exact
"bacon, middle rasher, no fat removed, cooked",AUS_F000227,"bacon, middle rasher, no fat removed, cooked",exact
"bacon, middle rasher, no fat removed, raw",AUS_F000228,"bacon, middle rasher, no fat removed, raw",exact
"bacon, middle rasher, some fat removed, raw",AUS_F000222,"bacon, middle rasher, some fat removed, raw",exact
"bacon, shortcut, cooked",AUS_F000231,"bacon, shortcut, cooked",exact
"bacon, streaky, cooked",AUS_F010254,"bacon, streaky, cooked",exact
bagel,AUS_F000233,"bagel, from white flour, commercial",generated
bagel  from white flour  commercial,AUS_F000233,"bagel, from white flour, commercial",generated
bagel  from white flour  commercial  toasted,AUS_F000234,"bagel, from white flour, commercial, toasted",generated
bagel  fruit  commercial,AUS_F000235,"bagel, fruit, commercial",generated
bagel  fruit  commercial  toasted,AUS_F000236,"bagel, fruit, commercial, toasted",generated
bagel from white flour commercial,AUS_F000233,"bagel, from white flour, commercial",generated
bagel from white flour commercial toasted,AUS_F000234,"bagel, from white flour, commercial, toasted",generated
bagel fruit commercial,AUS_F000235,"bagel, fruit, commercial",generated
