alias,ingredient_id,standard_name,match_type
yoghurt coconut flavoured added fruit intense sweetened,AUS_F009896,"yoghurt, coconut, flavoured added fruit, intense sweetened",generated
yoghurt coconut flavoured added fruit with additions,AUS_F009894,"yoghurt, coconut, flavoured added fruit, with additions",generated
yoghurt coconut natural,AUS_F009892,"yoghurt, coconut, natural",generated
yoghurt dessert,NZ_F1080,"yoghurt dessert, greek-style, chocolate flavoured, sweetened, premium",generated
yoghurt dessert  greek-style  chocolate flavoured  sweetened  premium,NZ_F1080,"yoghurt dessert, greek-style, chocolate flavoured, sweetened, premium",generated
yoghurt dessert greek-style chocolate flavoured sweetened premium,NZ_F1080,"yoghurt dessert, greek-style, chocolate flavoured, sweetened, premium",generated
"yoghurt dessert, greek style, chocolate flavoured, sweetened, premium",NZ_F1080,"yoghurt dessert, greek-style, chocolate flavoured, sweetened, premium",generated
"yoghurt dessert, greek-style, chocolate flavoured, sweetened, premium",NZ_F1080,"yoghurt dessert, greek-style, chocolate flavoured, sweetened, premium",exact
yoghurt flavoured added fruit high fat  5%,AUS_F009811,"yoghurt, flavoured added fruit, high fat  5%",generated
yoghurt flavoured added fruit high fat  5% lactose free,AUS_F009920,"yoghurt, flavoured added fruit, high fat  5% , lactose free",generated
yoghurt flavoured added fruit low fat  1% high protein,AUS_F009957,"yoghurt, flavoured added fruit, low fat  1% , high protein",generated
yoghurt flavoured added fruit low fat  1% no added sugar added fibre,AUS_F009958,"yoghurt, flavoured added fruit, low fat  1% , no added sugar, added fibre",generated
yoghurt flavoured added fruit low fat  1% no added sugar high protein,AUS_F009809,"yoghurt, flavoured added fruit, low fat  1% , no added sugar, high protein",generated
yoghurt flavoured added fruit reduced fat  2%,AUS_F009810,"yoghurt, flavoured added fruit, reduced fat  2%",generated
yoghurt flavoured added fruit reduced fat  2% added ca  and  vitamin d,AUS_F009961,"yoghurt, flavoured added fruit, reduced fat  2% , added ca  and  vitamin d",generated
yoghurt flavoured added fruit reduced fat  2% homemade,AUS_F009644,"yoghurt, flavoured added fruit, reduced fat  2% , homemade",generated
yoghurt flavoured added fruit reduced fat  2% lactose free,AUS_F009953,"yoghurt, flavoured added fruit, reduced fat  2% , lactose free",generated
yoghurt flavoured added fruit reduced fat  2% lactose free added fibre,AUS_F009954,"yoghurt, flavoured added fruit, reduced fat  2% , lactose free, added fibre",generated
yoghurt flavoured added fruit reduced fat  2% no added sugar,AUS_F009951,"yoghurt, flavoured added fruit, reduced fat  2% , no added sugar",generated
yoghurt flavoured added fruit reduced fat  2% with hemp oil,AUS_F009963,"yoghurt, flavoured added fruit, reduced fat  2% , with hemp oil",generated
yoghurt flavoured added fruit regular fat  4%,AUS_F009921,"yoghurt, flavoured added fruit, regular fat  4%",generated
yoghurt flavoured added fruit regular fat  4% high protein,AUS_F009922,"yoghurt, flavoured added fruit, regular fat  4% , high protein",generated
yoghurt flavoured added fruit regular fat  4% lactose free,AUS_F009933,"yoghurt, flavoured added fruit, regular fat  4% , lactose free",generated
yoghurt flavoured added fruit regular fat  4% no added sugar,AUS_F009924,"yoghurt, flavoured added fruit, regular fat  4% , no added sugar",generated
yoghurt flavoured added fruit regular fat  4% no added sugar added fibre,AUS_F009932,"yoghurt, flavoured added fruit, regular fat  4% , no added sugar, added fibre",generated
yoghurt flavoured added fruit with muesli or nut additions,AUS_F009960,"yoghurt, flavoured added fruit, with muesli or nut additions",generated
yoghurt flavoured regular fat  4% homemade,AUS_F009645,"yoghurt, flavoured, regular fat  4% , homemade",generated
yoghurt fresh n fruity assorted fruits regular fat fortified ca vitamins a  and  d,NZ_F1077,"yoghurt, fresh n fruity , assorted fruits, regular fat, fortified ca, vitamins a  and  d",generated
yoghurt fresh n fruity lite assorted fruits non-fat fortified ca vitamins a  and  d,NZ_F1072,"yoghurt, fresh n fruity , lite, assorted fruits, non-fat, fortified ca, vitamins a  and  d",generated
yoghurt frozen fruit flavoured,AUS_F009647,"yoghurt, frozen, fruit flavoured",generated
yoghurt frozen protein increased no added sugar,AUS_F010087,"yoghurt, frozen, protein increased, no added sugar",generated
yoghurt greek-style full-fat,NZ_F1055,"yoghurt, greek-style, full-fat",generated
yoghurt greek-style low fat cyclops,NZ_F1081,"yoghurt, greek-style, low fat, cyclops",generated
yoghurt greek-style low fat fresh n fruity,NZ_F1082,"yoghurt, greek-style, low fat , fresh n fruity",generated
yoghurt meadow fresh live lite assorted fruits non-fat fortified  ca vitamins a  and  d,NZ_F1073,"yoghurt, meadow fresh , live lite, assorted fruits, non-fat, fortified  ca, vitamins a  and  d",generated
yoghurt meadow freshyoghurt assorted fruits low fat sweetened meadow fresh fortified ca low fat assorted fruits fortified ca,NZ_F1075,"yoghurt, meadow freshyoghurt, assorted fruits, low fat, sweetened, meadow fresh , fortified ca, low fat, assorted fruits fortified ca",generated
